Cancer_Cells,Regulatory_T_Cells,Effector_T_Cells,Macrophages,Endothelial_Cells,Fibroblast,Survival
2.002021594,2.737214283,24.00075281,10.60277555,0.518710454,25.09345158,PCR
2.100376013,2.552132263,22.81413319,13.3189348,0.530552996,26.97697207,PCR
2.381836684,2.387264223,21.14092281,16.48567527,0.544252698,28.67261646,PCR
2.936705351,2.243345505,18.98110826,19.98332113,0.558520234,29.99077278,PCR
3.936453618,2.121151966,16.39201254,23.57275013,0.571334199,30.66838432,PCR
5.682126624,2.021534513,13.48365189,26.8919215,0.579625452,30.34104731,PCR
45.3,7.46,8.18,13.17,7.26,16.63,PCR
47.513669900366,6.84223165798507,5.51648893645938,11.0116802359406,5.50683453332771,8.22292410169841,PCR
44.8570372076355,6.48968537389281,3.89943268364128,9.07405146574583,4.34974120926424,4.10154044190842,PCR
40.2925350003022,6.28470189925495,2.92194456019989,7.51471200276839,3.54294098409984,2.18825170323786,PCR
35.3584005389078,6.16569818482821,2.31739733497776,6.30180944820861,2.95601517355883,1.27209779687213,PCR
30.7023300754694,6.09891521612679,1.93334682017521,5.36188816615141,2.51401769895636,1.00264768192347,PCR
26.6324360654679,6.06476758630453,1.68382378377801,4.6275323979264,2.16904801697413,1.03161101485289,PCR
23.1012322832093,6.05131748839015,1.52014069673514,4.04438606131826,1.89388784181981,1.02321376463025,PCR
20.0350735118092,6.05092229918086,1.41448510134053,3.57390308276519,1.67056982949301,1.03406008907433,PCR
17.3716894988976,6.05844985929491,1.35029596609908,3.18874748299121,1.48651434382729,1.04479633788041,PCR
15.0577099242955,6.07031548406127,1.31740712394279,2.86923511973826,1.33272641757515,1.04765157911664,PCR
13.0470629819177,6.08391874476041,1.30940794964014,2.60092949787699,1.2026286691447,1.01002009911948,PCR
11.299888288823,6.0973222207809,1.32225408113865,2.37311190601858,1.09134014729149,1.01396731058317,PCR
9.78164715487013,6.10904021605123,1.35342805879995,2.17771214153949,0.995180712212147,1.01248560603639,PCR
8.46238774408566,6.11790206763588,1.40143902602592,2.00857813303413,0.911336970025573,1.0070437422577,PCR
7.31612722437029,6.12296013525671,1.46551218894061,1.86096901183329,0.837632200613629,0.999999198999567,PCR
6.32066182642901,6.12342565600515,1.54538788646574,1.73120469376426,0.77235268538848,1.00884503648839,PCR
5.45767947650747,6.1186205021073,1.64116891001348,1.61640790779123,0.714097949984555,1.03467353781201,PCR
