PCR_Name,RD_Name,Similarity
cancercellspatient223,cancercellspatient213,0.952380952380952
regulatorytcellspatient223,regulatorytcellspatient213,0.961538461538462
effectortcellspatient223,effectortcellspatient213,0.958333333333333
macrophagespatient223,macrophagespatient213,0.952380952380952
endothelialcellspatient223,endothelialcellspatient213,0.961538461538462
fibroblastpatient223,fibroblastpatient213,0.95
cancercellspatient224,cancercellspatient028,0.904761904761905
regulatorytcellspatient224,regulatorytcellspatient028,0.923076923076923
effectortcellspatient224,effectortcellspatient028,0.916666666666667
macrophagespatient224,macrophagespatient028,0.904761904761905
endothelialcellspatient224,endothelialcellspatient028,0.923076923076923
fibroblastpatient224,fibroblastpatient028,0.9
cancercellspatient231,cancercellspatient211,0.952380952380952
regulatorytcellspatient231,regulatorytcellspatient211,0.961538461538462
effectortcellspatient231,effectortcellspatient211,0.958333333333333
macrophagespatient231,macrophagespatient211,0.952380952380952
endothelialcellspatient231,endothelialcellspatient211,0.961538461538462
fibroblastpatient231,fibroblastpatient211,0.95
cancercellspatient249,cancercellspatient279,0.952380952380952
regulatorytcellspatient249,regulatorytcellspatient279,0.961538461538462
effectortcellspatient249,effectortcellspatient279,0.958333333333333
macrophagespatient249,macrophagespatient279,0.952380952380952
endothelialcellspatient249,endothelialcellspatient279,0.961538461538462
fibroblastpatient249,fibroblastpatient279,0.95
cancercellspatient266,cancercellspatient236,0.952380952380952
regulatorytcellspatient266,regulatorytcellspatient236,0.961538461538462
effectortcellspatient266,effectortcellspatient236,0.958333333333333
macrophagespatient266,macrophagespatient236,0.952380952380952
endothelialcellspatient266,endothelialcellspatient236,0.961538461538462
fibroblastpatient266,fibroblastpatient236,0.95
cancercellspatient273,cancercellspatient213,0.952380952380952
regulatorytcellspatient273,regulatorytcellspatient213,0.961538461538462
effectortcellspatient273,effectortcellspatient213,0.958333333333333
macrophagespatient273,macrophagespatient213,0.952380952380952
endothelialcellspatient273,endothelialcellspatient213,0.961538461538462
fibroblastpatient273,fibroblastpatient213,0.95
